CA,YFO,Flin Flon Airport,Flin Flon,MB
CA,YFR,Fort Resolution Airport,Fort Resolution,NT
CA,YFS,Fort Simpson Airport,Fort Simpson,NT
CA,YFX,St Lewis (Fox Harbour) Airport,St Lewis (Fox Harbour),NL
CA,YGB,Gillies Bay Airport,Gillies Bay,BC
CA,YGC,Grande Cache Airport,Grande Cache,AB
CA,YGE,Gorge Harbour SPB Airport,Gorge Harbour,BC
CA,YGG,Ganges SPB Airport,Ganges,BC
CA,YGH,Fort Good Hope Airport,Fort Good Hope,NT
CA,YGK,Kingston Norman Rogers Airport,Kingston,ON
CA,YGL,La Grande Riviere Airport,La Grande Riviere,QC
CA,YGM,Gimli Industrial Park Airport,Gimli,MB
CA,YGN,Greenway Sound SPB Airport,Greenway Sound,BC
CA,YGO,Gods Lake Narrows Airport,Gods Lake Narrows,MB
CA,YGP,Gaspe Michel-Pouliot Airport,Gaspe,QC
CA,YGQ,Geraldton Greenstone Regional Airport,Geraldton,ON
CA,YGR,Iles de La Madeleine Airport,Iles de La Madeleine,QC
CA,YGT,Igloolik Airport,Igloolik,NU
CA,YGV,Havre-St-Pierre Airport,Havre-St-Pierre,QC
CA,YGW,Kuujjuarapik Airport,Kuujjuarapik,QC
CA,YGX,Gillam Airport,Gillam,MB
CA,YGZ,Grise Fiord Airport,Grise Fiord,NU
CA,YHA,Port Hope Simpson Airport,Port Hope Simpson,NL
CA,YHB,Hudson Bay Airport,Hudson Bay,SK
CA,YHC,Hakai Passage SPB Airport,Hakai Passage,BC
CA,YHD,Dryden Regional Airport,Dryden,ON
CA,YHE,Hope Airport,Hope,BC
CA,YHF,Hearst Rene Fontaine Muni Airport,Hearst,ON
CA,YHG,Charlottetown Off-line Point Airport,Charlottetown,NL
CA,YHH,Campbell River SPB Airport,Campbell River,BC
CA,YHI,Ulukhaktok Airport,Ulukhaktok,NT
CA,YHK,Gjoa Haven Airport,Gjoa Haven,NU
CA,YHM,Toronto John C. Munro Hamilton Airport,Toronto,ON
CA,YHN,Hornepayne Municipal Airport,Hornepayne,ON
CA,YHO,Hopedale Airport,Hopedale,NL
CA,YHP,Poplar Hill Airport,Poplar Hill,ON
CA,YHR,Chevery Airport,Chevery,QC
CA,YHS,Sechelt Airport,Sechelt,BC
CA,YHT,Haines Junction Airport,Haines Junction,YT
CA,YHU,Montreal St-Hubert Airport,Montreal,QC
CA,YHY,Hay River Merlyn Carter Airport,Hay River,NT
CA,YHZ,Halifax Stanfield Intl Airport,Halifax,NS
CA,YIB,Atikokan Municipal Airport,Atikokan,ON
CA,YIF,St-Augustin/Pakuashipi Airport,St-Augustin/Pakuashipi,QC
CA,YIG,Stuart Island Big Bay SPB Airport,Stuart Island,BC
CA,YIK,Ivujivik Airport,Ivujivik,QC
CA,YIO,Pond Inlet Airport,Pond Inlet,NU
CA,YIV,Island Lk/Garden Hill Airport,Island Lk/Garden Hill,MB
CA,YJA,Jasper Airport Airport,Jasper,AB
CA,YJF,Fort Liard Airport,Fort Liard,NT
CA,YJN,St-Jean Airport,St-Jean,QC
CA,YJP,Hinton Jasper-Hinton Airport,Hinton,AB
CA,YJT,Stephenville International Airport,Stephenville,NL
CA,YKA,Kamloops Airport,Kamloops,BC
CA,YKC,Collins Bay Airport,Collins Bay,SK
CA,YKD,Kincardine Airport,Kincardine,ON
CA,YKE,Knee Lake Airport,Knee Lake,MB
CA,YKF,Toronto Region of Waterloo Int Airport,Toronto,ON
CA,YKG,Kangirsuk Airport,Kangirsuk,QC
CA,YKJ,Key Lake Airport,Key Lake,SK
CA,YKK,Kitkatla SPB Airport,Kitkatla,BC
CA,YKL,Schefferville Airport,Schefferville,QC
CA,YKQ,Waskaganish Airport,Waskaganish,QC
CA,YKT,Klemtu SPB Airport,Klemtu,BC
CA,YKU,Chisasibi Airport,Chisasibi,QC
CA,YKX,Kirkland Lake Airport,Kirkland Lake,ON
CA,YKY,Kindersley Regional Airport,Kindersley,SK
CA,YKZ,Toronto Buttonville Municipal Airport,Toronto,ON
CA,YLB,Lac La Biche Airport,Lac La Biche,AB
CA,YLC,Kimmirut Airport,Kimmirut,NU
CA,YLD,Chapleau Airport,Chapleau,ON
CA,YLE,Whati Airport,Whati,NT
CA,YLH,Lansdowne House Airport,Lansdowne House,ON
CA,YLJ,Meadow Lake Airport,Meadow Lake,SK
CA,YLK,Barrie/Orillia Lake Simcoe Regional Apt,Barrie/Orillia,ON
CA,YLL,Lloydminster Airport,Lloydminster,AB
CA,YLM,Clinton Creek Airport,Clinton Creek,YT
CA,YLO,Shilo CFB Shilo Heliport,Shilo,MB
CA,YLP,Mingan Airport,Mingan,QC
CA,YLQ,La Tuque Airport,La Tuque,QC
CA,YLR,Leaf Rapids Airport,Leaf Rapids,MB
CA,YLS,Lebel-sur-Quevillon Airport,Lebel-sur-Quevillon,QC
CA,YLT,Alert Airport,Alert,NU
CA,YLW,Kelowna International Airport,Kelowna,BC
CA,YLY,Langley Regional Airport,Langley,BC
CA,YMA,Mayo Airport,Mayo,YT
CA,YMB,Merritt Airport,Merritt,BC
CA,YMD,Mould Bay Airport,Mould Bay,NT
CA,YME,Matane Airport,Matane,QC
CA,YMF,Galiano Island Montagne Harbour SPB Apt,Galiano Island,BC
CA,YMG,Manitouwadge Airport,Manitouwadge,ON
CA,YMH,Mary's Harbour Airport,Mary's Harbour,NL
CA,YMJ,Moose Jaw C.M. McEwen Airport,Moose Jaw,SK
CA,YML,La Malbaie Charlevoix Airport,La Malbaie,QC
CA,YMM,Fort McMurray Airport,Fort McMurray,AB
CA,YMN,Makkovik Airport,Makkovik,NL
CA,YMO,Moosonee Airport,Moosonee,ON
CA,YMP,Port McNeill Airport,Port McNeill,BC
CA,YMQ,Montreal Metropolitan Area,Montreal,QC
CA,YMT,Chibougamau Chapais Airport,Chibougamau,QC
CA,YMU,Mansons Landing SPB Airport,Mansons Landing,BC
CA,YMV,Mary River Airport,Mary River,NU
CA,YMW,Maniwaki Airport,Maniwaki,QC
CA,YMX,Montreal Mirabel Intl Airport,Montreal,QC
CA,YMY,Montreal Central Railway Stn,Montreal,QC
CA,YNA,Natashquan Airport,Natashquan,QC
CA,YNC,Wemindji Airport,Wemindji,QC
CA,YND,Ottawa Gatineau Airport,Ottawa,ON
CA,YNE,Norway House Airport,Norway House,MB
CA,YNF,Corner Brook Off-line Point,Corner Brook,NL
CA,YNH,Hudson's Hope Airport,Hudson's Hope,BC
CA,YNL,Points North Landing Airport,Points North Landing,SK
CA,YNM,Matagami Airport,Matagami,QC
CA,YNO,North Spirit Lake Airport,North Spirit Lake,ON
CA,YNP,Natuashish Airport,Natuashish,NL
CA,YNS,Nemiscau Airport,Nemiscau,QC
CA,YNX,Snap Lake Airport,Snap Lake,NT
CA,YOA,Ekati Airport,Ekati,NT
CA,YOC,Old Crow Airport,Old Crow,YT
CA,YOD,Cold Lake R.W. McNair Airport,Cold Lake,AB
CA,YOE,Donnelly Airport,Donnelly,AB
CA,YOG,Ogoki Ogoki Post Airport,Ogoki,ON
CA,YOH,Oxford House Airport,Oxford House,MB
CA,YOI,Opinaca Airport,Opinaca,QC
CA,YOJ,High Level Airport,High Level,AB
CA,YOO,Oshawa Airport,Oshawa,ON
CA,YOP,Rainbow Lake Airport,Rainbow Lake,AB
CA,YOS,Owen Sound Billy Bishop Regional Airport,Owen Sound,ON
CA,YOW,Ottawa Macdonald-Cartier Intl Airport,Ottawa,ON
CA,YOY,Valcartier CFB Heliport,Valcartier,QC
CA,YPA,Prince Albert Glass Field Airport,Prince Albert,SK
CA,YPB,Port Alberni Alberni Valley Rgnl Airport,Port Alberni,BC
CA,YPC,Paulatuk Nora A. Ruben Airport,Paulatuk,NT
CA,YPD,Parry Sound Area Muni Airport,Parry Sound,ON
CA,YPE,Peace River Airport,Peace River,AB
CA,YPG,Portage La Prairie Southport Airport,Portage La Prairie,MB
CA,YPH,Inukjuak Airport,Inukjuak,QC
CA,YPI,Port Simpson SPB Airport,Port Simpson,BC
CA,YPJ,Aupaluk Airport,Aupaluk,QC
CA,YPL,Pickle Lake Airport,Pickle Lake,ON
CA,YPM,Pikangikum Airport,Pikangikum,ON
CA,YPN,Port-Menier Airport,Port-Menier,QC
CA,YPO,Peawanuck Airport,Peawanuck,ON
CA,YPQ,Peterborough Airport,Peterborough,ON
CA,YPR,Prince Rupert Airport Airport,Prince Rupert,BC
CA,YPS,Port Hawkesbury Airport,Port Hawkesbury,NS
CA,YPT,Pender Harbour SPB Airport,Pender Harbour,BC
CA,YPW,Powell River Airport,Powell River,BC
CA,YPX,Puvirnituq Airport,Puvirnituq,QC
CA,YPY,Fort Chipewyan Airport,Fort Chipewyan,AB
CA,YPZ,Burns Lake Airport,Burns Lake,BC
CA,YQA,Muskoka Airport,Muskoka,ON
CA,YQB,Quebec Jean Lesage Intl Airport,Quebec,QC
CA,YQC,Quaqtaq Airport,Quaqtaq,QC
CA,YQD,The Pas Airport Airport,The Pas,MB
CA,YQF,Red Deer Regional Airport,Red Deer,AB
CA,YQG,Windsor Airport Airport,Windsor,ON
CA,YQH,Watson Lake Airport,Watson Lake,YT
CA,YQI,Yarmouth Airport,Yarmouth,NS
CA,YQJ,Quadra Island April Point SPB Airport,Quadra Island,BC
CA,YQK,Kenora Airport,Kenora,ON
CA,YQL,Lethbridge Lethbridge County Airport,Lethbridge,AB
CA,YQM,Moncton Greater Moncton Intl Airport,Moncton,NB
CA,YQN,Nakina Airport,Nakina,ON
CA,YQQ,Comox Airport,Comox,BC
CA,YQR,Regina International Airport,Regina,SK
CA,YQS,St Thomas Municipal Airport,St Thomas,ON
CA,YQT,Thunder Bay International Airport,Thunder Bay,ON
CA,YQU,Grande Prairie Airport,Grande Prairie,AB
CA,YQV,Yorkton Municipal Airport,Yorkton,SK
CA,YQW,North Battleford Cameron McIntosh Apt,North Battleford,SK
CA,YQX,Gander International Airport,Gander,NL
CA,YQY,Sydney J.A. Douglas McCurdy Airport,Sydney,NS
CA,YQZ,Quesnel Airport,Quesnel,BC
CA,YRA,Gameti Rae Lakes Airport,Gameti,NT
CA,YRB,Resolute Resolute Bay Airport,Resolute,NU
CA,YRC,Refuge Cove SPB Airport,Refuge Cove,BC
CA,YRD,Dean River Airport,Dean River,BC
CA,YRF,Cartwright Airport,Cartwright,NL
CA,YRG,Rigolet Airport,Rigolet,NL
CA,YRI,Riviere-du-Loup Airport,Riviere-du-Loup,QC
CA,YRJ,Roberval Airport,Roberval,QC
CA,YRL,Red Lake Airport,Red Lake,ON
CA,YRM,Rocky Mountain House Airport,Rocky Mountain House,AB
CA,YRN,Rivers Inlet SPB Airport,Rivers Inlet,BC
CA,YRO,Ottawa Rockcliffe Airport,Ottawa,ON
CA,YRQ,Trois-Rivieres Airport,Trois-Rivieres,QC
CA,YRR,Stuart Island Airstrip Airport,Stuart Island,BC
CA,YRS,Red Sucker Lake Airport,Red Sucker Lake,MB
CA,YRT,Rankin Inlet Airport,Rankin Inlet,NU
CA,YRV,Revelstoke Airport,Revelstoke,BC
CA,YSA,Sable Island Airport,Sable Island,NS
CA,YSB,Sudbury Airport,Sudbury,ON
CA,YSC,Sherbrooke Airport,Sherbrooke,QC
CA,YSD,Suffield CFB Heliport Airport,Suffield,AB
CA,YSE,Squamish Airport,Squamish,BC
CA,YSF,Stony Rapids Airport,Stony Rapids,SK
CA,YSG,Lutselke Airport,Lutselke,NT
CA,YSH,Smiths Falls Montague Airport,Smiths Falls,ON
CA,YSI,Frying Pan Island Sans Souci SPB Airport,Frying Pan Island,ON
CA,YSJ,Saint John Airport,Saint John,NB
CA,YSK,Sanikiluaq Airport,Sanikiluaq,NU
CA,YSL,St Leonard Airport,St Leonard,NB
CA,YSM,Fort Smith Airport,Fort Smith,NT
CA,YSN,Salmon Arm Airport,Salmon Arm,BC
CA,YSO,Postville Airport,Postville,NL
CA,YSP,Marathon Airport,Marathon,ON
CA,YST,St Theresa Point Airport,St Theresa Point,MB
CA,YSU,Summerside Airport,Summerside,PE
CA,YSX,Bella Bella Shearwater SPB Airport,Bella Bella,BC
CA,YSY,Sachs Harbour D.Nasogaluak Saaryuaq Apt,Sachs Harbour,NT
CA,YTA,Pembroke Airport,Pembroke,ON
CA,YTB,Hartley Bay SPB Airport,Hartley Bay,BC
CA,YTD,Thicket Portage Airport,Thicket Portage,MB
CA,YTE,Cape Dorset Airport,Cape Dorset,NU
CA,YTF,Alma Airport,Alma,QC
CA,YTG,Sullivan Bay SPB Airport,Sullivan Bay,BC
CA,YTH,Thompson Airport,Thompson,MB
CA,YTL,Big Trout Lake Airport,Big Trout Lake,ON
CA,YTM,Mont-Tremblant International Airport,Mont-Tremblant,QC
CA,YTO,Toronto Metropolitan Area,Toronto,ON
CA,YTP,Tofino Harbour SPB Airport,Tofino,BC
CA,YTQ,Tasiujaq Airport,Tasiujaq,QC
CA,YTR,Trenton Airport,Trenton,ON
CA,YTS,Timmins Victor M. Power Airport,Timmins,ON
CA,YTT,Tisdale Airport,Tisdale,SK
CA,YTU,Tasu SPB Airport,Tasu,BC
CA,YTX,Telegraph Creek Airport,Telegraph Creek,BC
CA,YTZ,Toronto Billy Bishop City A/P Airport,Toronto,ON
CA,YUB,Tuktoyaktuk James Gruben Airport,Tuktoyaktuk,NT
CA,YUD,Umiujaq Airport,Umiujaq,QC
CA,YUL,Montreal Pierre E.Trudeau Intl Airport,Montreal,QC
CA,YUT,Repulse Bay Airport,Repulse Bay,NU
CA,YUX,Hall Beach Airport,Hall Beach,NU
CA,YUY,Rouyn-Noranda Airport,Rouyn-Noranda,QC
CA,YVB,Bonaventure Airport,Bonaventure,QC
CA,YVC,La Ronge Barber Field Airport,La Ronge,SK
CA,YVE,Vernon Regional Airport,Vernon,BC
CA,YVG,Vermilion Airport,Vermilion,AB
CA,YVM,Qikiqtarjuaq Airport,Qikiqtarjuaq,NU
CA,YVN,Cape Dyer Airport,Cape Dyer,NU
CA,YVO,Val d'Or Airport,Val d'Or,QC
CA,YVP,Kuujjuaq Airport,Kuujjuaq,QC
CA,YVQ,Norman Wells Airport,Norman Wells,NT
CA,YVR,Vancouver International Airport,Vancouver,BC
CA,YVT,Buffalo Narrows Airport,Buffalo Narrows,SK
CA,YVV,Wiarton Airport,Wiarton,ON
CA,YVZ,Deer Lake Airport,Deer Lake,ON
CA,YWA,Petawawa Airport,Petawawa,ON
CA,YWB,Kangiqsujuaq Wakeham Bay Airport,Kangiqsujuaq,QC
CA,YWF,Halifax South End Heliport,Halifax,NS
CA,YWG,Winnipeg J.A. Richardson Intl Airport,Winnipeg,MB
CA,YWH,Victoria Inner Harbour SPB Airport,Victoria,BC
CA,YWJ,Deline Airport,Deline,NT
CA,YWK,Wabush Airport,Wabush,NL
CA,YWL,Williams Lake Airport,Williams Lake,BC
CA,YWM,Williams Harbour Airport,Williams Harbour,NL
CA,YWP,Webequie Airport,Webequie,ON
CA,YWQ,Chute-des-Passes Lac Margane SPB Airport,Chute-des-Passes,QC
CA,YWR,White River SPB Airport,White River,ON
CA,YWS,Whistler Green Lake SPB Airport,Whistler,BC
CA,YWY,Wrigley Airport,Wrigley,NT
CA,YXC,Cranbrook Canadian Rockies Intl Airport,Cranbrook,BC
CA,YXD,Edmonton City Centre Airport Airport,Edmonton,AB
CA,YXE,Saskatoon J.G. Diefenbaker Intl Airport,Saskatoon,SK
CA,YXH,Medicine Hat Airport,Medicine Hat,AB
CA,YXJ,Fort St John North Peace Airport,Fort St John,BC
CA,YXK,Rimouski Airport,Rimouski,QC
CA,YXL,Sioux Lookout Airport,Sioux Lookout,ON
CA,YXN,Whale Cove Airport,Whale Cove,NU
CA,YXP,Pangnirtung Airport,Pangnirtung,NU
CA,YXQ,Beaver Creek Airport,Beaver Creek,YT
CA,YXR,Earlton Timiskaming Regional Airport,Earlton,ON
CA,YXS,Prince George Airport Airport,Prince George,BC
CA,YXT,Terrace Northwest Regional Airport,Terrace,BC
CA,YXU,London International Airport,London,ON
CA,YXX,Abbotsford International Airport,Abbotsford,BC
CA,YXY,Whitehorse Erik Nielsen Intl Airport,Whitehorse,YT
CA,YXZ,Wawa Airport,Wawa,ON
CA,YYB,North Bay Jack Garland Airport,North Bay,ON
CA,YYC,Calgary International Airport,Calgary,AB
CA,YYD,Smithers Airport,Smithers,BC
CA,YYE,Fort Nelson Northern Rockies Rgnl Apt,Fort Nelson,BC
CA,YYF,Penticton Regional Airport,Penticton,BC
CA,YYG,Charlottetown Airport,Charlottetown,PE
CA,YYH,Taloyoak Airport,Taloyoak,NU
CA,YYI,Rivers Airport,Rivers,MB
CA,YYJ,Victoria International Airport,Victoria,BC
CA,YYL,Lynn Lake Airport,Lynn Lake,MB
CA,YYM,Cowley Airport,Cowley,AB
CA,YYN,Swift Current Airport,Swift Current,SK
CA,YYQ,Churchill Airport Airport,Churchill,MB
CA,YYR,Goose Bay Airport,Goose Bay,NL
CA,YYT,St John's International Airport,St John's,NL
CA,YYU,Kapuskasing Airport,Kapuskasing,ON
CA,YYW,Armstrong Airport,Armstrong,ON
CA,YYY,Mont-Joli Airport,Mont-Joli,QC
CA,YYZ,Toronto Lester B. Pearson Intl Airport,Toronto,ON
CA,YZA,Cache Creek/Ashcroft Regional Airport,Cache Creek/Ashcroft,BC
CA,YZE,Gore Bay Manitoulin Airport,Gore Bay,ON
CA,YZF,Yellowknife Airport,Yellowknife,NT
CA,YZG,Salluit Airport,Salluit,QC
CA,YZH,Slave Lake Airport,Slave Lake,AB
CA,YZP,Sandspit Airport,Sandspit,BC
CA,YZR,Sarnia Chris Hadfield Airport,Sarnia,ON
CA,YZS,Coral Harbour Airport,Coral Harbour,NU
CA,YZT,Port Hardy Airport,Port Hardy,BC
CA,YZU,Whitecourt Airport,Whitecourt,AB
CA,YZV,Sept-Iles Airport,Sept-Iles,QC
CA,YZW,Teslin Airport,Teslin,YT
CA,YZX,Greenwood Airport,Greenwood,NS
CA,YZZ,Trail Airport,Trail,BC
CA,ZAA,Alice Arm Silver City SPB Airport,Alice Arm,BC
CA,ZAC,York Landing Airport,York Landing,MB
CA,ZBF,Bathurst Airport,Bathurst,NB
CA,ZBM,Bromont Roland-Desourdy Airport,Bromont,QC
CA,ZEL,Bella Bella Campbell Island Airport,Bella Bella,BC
CA,ZEM,Eastmain Eastmain River Airport,Eastmain,QC
CA,ZFA,Faro Airport,Faro,YT
CA,ZFD,Fond-du-Lac Airport,Fond-du-Lac,SK
CA,ZFM,Fort McPherson Airport,Fort McPherson,NT
CA,ZFN,Tulita Airport,Tulita,NT
CA,ZFW,Fairview Airport,Fairview,AB
CA,ZGF,Grand Forks Airport,Grand Forks,BC
CA,ZGI,Gods River Airport,Gods River,MB
CA,ZGR,Little Grand Rapids Airport,Little Grand Rapids,MB
CA,ZGS,La Romaine Airport,La Romaine,QC
CA,ZHO,Houston Bus Station,Houston,BC
CA,ZHP,High Prairie Airport,High Prairie,AB
CA,ZIF,Ottawa Fallowfield Railway Stn,Ottawa,ON
CA,ZJG,Jenpeg Airport,Jenpeg,MB
CA,ZJN,Swan River Airport,Swan River,MB
CA,ZKE,Kashechewan Airport,Kashechewan,ON
CA,ZKG,Kegaska Airport,Kegaska,QC
CA,ZLT,La Tabatiere Airport,La Tabatiere,QC
CA,ZMH,108 Mile Ranch South Cariboo Rgl Airport,108 Mile Ranch,BC
CA,ZMT,Masset Airport,Masset,BC
CA,ZNA,Nanaimo Harbour SPB Airport,Nanaimo,BC
CA,ZNU,Namu SPB Airport,Namu,BC
CA,ZOF,Ocean Falls SPB Airport,Ocean Falls,BC
CA,ZPB,Sachigo Lake Airport,Sachigo Lake,ON
CA,ZPO,Pinehouse Pinehouse Lake Airport,Pinehouse,SK
CA,ZQS,Queen Charlotte SPB Airport,Queen Charlotte,BC
CA,ZRJ,Round Lake Weagamow Lake Airport,Round Lake,ON
CA,ZSJ,Sandy Lake Airport,Sandy Lake,ON
CA,ZST,Stewart Airport,Stewart,BC
CA,ZSW,Prince Rupert Seal Cove SPB Airport,Prince Rupert,BC
CA,ZTB,Tete-a-la Baleine Airport,Tete-a-la Baleine,QC
CA,ZTM,Shamattawa Airport,Shamattawa,MB
CA,ZTS,Tahsis SPB Airport,Tahsis,BC
CA,ZUC,Ignace Municipal Airport,Ignace,ON
CA,ZUM,Churchill Falls Airport,Churchill Falls,NL
CA,ZWL,Wollaston Lake Airport,Wollaston Lake,SK
CC,CCK,Cocos Islands Airport,Cocos Islands,
CD,BAN,Basongo Airport,Basongo,
CD,BDT,Gbadolite Airport,Gbadolite,
CD,BDV,Moba Airport,Moba,
CD,BKY,Bukavu Kavumu Airport,Bukavu,
CD,BMB,Bumba Airport,Bumba,
CD,BNB,Boende Airport,Boende,
CD,BNC,Beni Mavivi Airport,Beni,
CD,BOA,Boma Airport,Boma,
CD,BSU,Basankusu Airport,Basankusu,
CD,BUX,Bunia Airport,Bunia,
CD,BZU,Buta Zega Airport,Buta,
CD,FBM,Lubumbashi Luano Intl Airport,Lubumbashi,
CD,FDU,Bandundu Airport,Bandundu,
CD,FIH,Kinshasa N'djili Intl Airport,Kinshasa,
CD,FIS,Kinshasa Central Railway Stn,Kinshasa,
CD,FKI,Kisangani Bangoka Intl Airport,Kisangani,
CD,FMI,Kalemie Airport,Kalemie,
CD,GDJ,Gandajika Airport,Gandajika,
CD,GMA,Gemena Airport,Gemena,
CD,GOM,Goma International Airport,Goma,
CD,IDF,Idiofa Airport,Idiofa,
CD,IKL,Ikela Airport,Ikela,
CD,INO,Inongo Airport,Inongo,
CD,IRP,Isiro Matari Airport,Isiro,
CD,KAP,Kapanga Airport,Kapanga,
CD,KBN,Kabinda Tunta Airport,Kabinda,
CD,KBO,Kabalo Airport,Kabalo,
CD,KEC,Kasenga Airport,Kasenga,
CD,KGA,Kananga Airport,Kananga,
CD,KGN,Kasongo-Lunda Airport,Kasongo-Lunda,
CD,KIL,Kilwa Airport,Kilwa,
CD,KKW,Kikwit Airport,Kikwit,
CD,KLI,Kotakoli Airport,Kotakoli,
CD,KLY,Kalima Airport,Kalima,
CD,KMN,Kamina Kamina-Ville Airport,Kamina,
CD,KND,Kindu Airport,Kindu,
CD,KNM,Kaniama Airport,Kaniama,
CD,KOO,Kongolo Airport,Kongolo,
CD,KRZ,Kiri Airport,Kiri,
CD,KWZ,Kolwezi Airport,Kolwezi,
CD,LBO,Lusambo Airport,Lusambo,
CD,LIE,Libenge Airport,Libenge,
CD,LIQ,Lisala Airport,Lisala,
CD,LJA,Lodja Airport,Lodja,
CD,LUS,Lusanga Airport,Lusanga,
CD,LZA,Luiza Airport,Luiza,
CD,LZI,Luozi Airport,Luozi,
CD,MAT,Matadi Tshimpi Airport,Matadi,
CD,MDK,Mbandaka Airport,Mbandaka,
CD,MEW,Mweka Airport,Mweka,
CD,MJM,Mbuji-Mayi Airport,Mbuji-Mayi,
CD,MNB,Muanda Airport,Muanda,
CD,MNO,Manono Airport,Manono,
CD,MSM,Masi-Manimba Airport,Masi-Manimba,
CD,NIO,Nioki Airport,Nioki,
CD,NKL,Kolo Fuma Airport,Kolo,
CD,NLO,Kinshasa N'dolo Airport,Kinshasa,
CD,PFR,Ilebo Airport,Ilebo,
CD,PUN,Punia Airport,Punia,
CD,PWO,Pweto Airport,Pweto,
CD,RUE,Butembo Airport,Butembo,
CD,TSH,Tshikapa Airport,Tshikapa,
CD,YAN,Yangambi Airport,Yangambi,
CF,AIG,Yalinga Airport,Yalinga,
CF,BBT,Berberati Airport,Berberati,
CF,BBY,Bambari Airport,Bambari,
CF,BCF,Bouca Airport,Bouca,
CF,BGF,Bangui Mpoko Intl Airport,Bangui,
CF,BGU,Bangassou Airport,Bangassou,
CF,BIV,Bria Airport,Bria,
CF,BMF,Bakouma Airport,Bakouma,
CF,BOP,Bouar Airport,Bouar,
CF,BOZ,Bozoum Airport,Bozoum,
CF,BSN,Bossangoa Airport,Bossangoa,
CF,BTG,Batangafo Airport,Batangafo,
CF,CRF,Carnot Airport,Carnot,
CF,GDA,Gounda Airport,Gounda,
CF,GDI,Melle Gordil Airport,Melle,
CF,IMO,Zemio Airport,Zemio,
CF,IRO,Birao Airport,Birao,
CF,KOL,Koumala Airport,Koumala,
CF,KWD,Kavadja Airport,Kavadja,
CF,MKI,Obo Mboki Airport,Obo,
CF,NDL,Ndele Airport,Ndele,
CF,ODA,Ouadda Airport,Ouadda,
CF,ODJ,Ouanda Djalle Airport,Ouanda Djalle,
CF,RFA,Rafai Airport,Rafai,
CG,ANJ,Zanaga Airport,Zanaga,
CG,BOE,Boundji Airport,Boundji,
CG,BTB,Betou Airport,Betou,
CG,BZV,Brazzaville Maya-Maya Airport,Brazzaville,
CG,DIS,Dolisie Airport,Dolisie,
CG,DJM,Djambala Airport,Djambala,
CG,EPN,Epena Airport,Epena,
CG,EWO,Ewo Airport,Ewo,
CG,FTX,Owando Airport,Owando,
CG,GMM,Gamboma Airport,Gamboma,
CG,ION,Impfondo Airport,Impfondo,
CG,KEE,Kelle Airport,Kelle,
CG,KMK,Makabana Airport,Makabana,
CG,KNJ,Kindamba Airport,Kindamba,
CG,LCO,Lage Airport,Lage,
CG,LKC,Lekana Airport,Lekana,
CG,MKJ,Makoua Airport,Makoua,
CG,MSX,Mossendjo Airport,Mossendjo,
CG,MUY,Mouyondzi Airport,Mouyondzi,
CG,NKY,N'kayi Yokangassi Airport,N'kayi,
CG,OKG,Okoyo Airport,Okoyo,
CG,OLL,Oyo Ollombo Airport,Oyo,
CG,OUE,Ouesso Airport,Ouesso,
CG,PNR,Pointe-Noire Airport,Pointe-Noire,
CG,SIB,Sibiti Airport,Sibiti,
CG,SOE,Souanke Airport,Souanke,
CH,ACH,Altenrhein St Gallen-Altenrhein Airport,Altenrhein,
CH,BRN,Bern Belp Airport,Bern,
CH,BSL,Basel/Mulhouse EuroAirport Swiss Airport,Basel/Mulhouse,
CH,BXO,Buochs Airport,Buochs,
CH,EAP,Basel/Mulhouse Metropolitan Area,Basel/Mulhouse,
CH,EML,Emmen Airport,Emmen,
CH,GVA,Geneva International Airport,Geneva,
CH,LUG,Lugano Agno Airport,Lugano,
CH,MLH,Mulhouse/Basel EuroAirport French Apt,Mulhouse/Basel,
CH,QEQ,Embrach/Rorbas Railway Station,Embrach/Rorbas,
CH,QGL,St Gallen Railway Station,St Gallen,
CH,QLJ,Lucerne Railway Station,Lucerne,
CH,QLS,Lausanne Railway Station,Lausanne,
CH,QNC,Neuchatel Railway Station,Neuchatel,
CH,QZB,Zermatt Railway Station,Zermatt,
CH,SIR,Sion Airport,Sion,
CH,SMV,St Moritz Engadin Airport,St Moritz,
CH,ZAP,Appenzell Railway Station,Appenzell,
CH,ZBA,Basel/Mulhouse Basel Bad Railway Stn,Basel/Mulhouse,
CH,ZDA,Aarau Railway Station,Aarau,
CH,ZDB,Adelboden Bus Station,Adelboden,
CH,ZDC,Aigle Railway Station,Aigle,
CH,ZDD,Arbon Railway Station,Arbon,
CH,ZDE,Arosa Railway Station,Arosa,
CH,ZDG,Baden Railway Station,Baden,
CH,ZDH,Mulhouse/Basel SBB Railway Station,Mulhouse/Basel,
CH,ZDI,Bellinzona Railway Station,Bellinzona,
CH,ZDJ,Bern Railway Station,Bern,
CH,ZDK,Biel/Bienne Railway Station,Biel/Bienne,
CH,ZDL,Brig Railway Station,Brig,
CH,ZDO,Buchs SG Railway Station,Buchs SG,
CH,ZDP,Burgdorf Railway Station,Burgdorf,
CH,ZDQ,Champery Railway Station,Champery,
CH,ZDR,Chateau-d'Oex Railway Station,Chateau-d'Oex,
CH,ZDS,Chiasso Railway Station,Chiasso,
CH,ZDT,Chur Railway Station,Chur,
CH,ZDV,Davos Davos Dorf Railway Stn,Davos,
CH,ZDW,Delemont Railway Station,Delemont,
CH,ZDX,Dietikon Railway Station,Dietikon,
